Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2003;3.725
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2002;3.695
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2001;3.668
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;2000;3.719
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;1999;3.524
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;1998;3.647
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;1997;3.667
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;1996;3.851
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;1995;3.894
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Sin taxímetro;1994;4.128
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2019;5.314
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2018;5.352
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2017;5.353
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2016;5.376
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2015;5.495
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2014;5.540
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2013;5.581
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2012;5.619
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2011;5.626
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2010;5.575
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2009;5.553
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2008;5.638
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2007;5.623
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2006;5.563
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2005;5.523
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2004;5.599
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2003;5.575
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2002;5.527
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2001;5.497
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;2000;5.502
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;1999;5.506
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;1998;5.503
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;1997;5.510
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;1996;5.506
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;1995;5.496
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Total;1994;5.492
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2019;5.314
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2018;5.352
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2017;5.353
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2016;5.376
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2015;5.495
TOTAL ESPAÑA;ANDALUCÍA;;Capital de Provincia;Con taxímetro;2014;5.540
