Comunidades y Ciudades Autónomas;Periodo;Total
10 Comunitat Valenciana;1977;8,83
10 Comunitat Valenciana;1976;9,03
10 Comunitat Valenciana;1975;9,31
11 Extremadura;2021;11,68
11 Extremadura;2020;12,37
11 Extremadura;2019;10,6
11 Extremadura;2018;10,73
11 Extremadura;2017;10,8
11 Extremadura;2016;10,39
11 Extremadura;2015;10,59
11 Extremadura;2014;9,87
11 Extremadura;2013;10,06
11 Extremadura;2012;10,3
11 Extremadura;2011;9,59
11 Extremadura;2010;9,83
11 Extremadura;2009;9,8
11 Extremadura;2008;9,57
11 Extremadura;2007;9,91
11 Extremadura;2006;9,61
11 Extremadura;2005;10,42
11 Extremadura;2004;9,77
11 Extremadura;2003;10,57
11 Extremadura;2002;9,97
11 Extremadura;2001;9,77
11 Extremadura;2000;9,78
11 Extremadura;1999;10,21
11 Extremadura;1998;10
11 Extremadura;1997;9,74
11 Extremadura;1996;9,87
11 Extremadura;1995;9,73
11 Extremadura;1994;9,5
11 Extremadura;1993;9,91
11 Extremadura;1992;9,6
11 Extremadura;1991;9,95
11 Extremadura;1990;9,84
11 Extremadura;1989;9,68
11 Extremadura;1988;9,47
11 Extremadura;1987;9,34
11 Extremadura;1986;9,54
11 Extremadura;1985;9,53
11 Extremadura;1984;9,41
11 Extremadura;1983;9,88
11 Extremadura;1982;8,99
11 Extremadura;1981;9,47
11 Extremadura;1980;9,18
11 Extremadura;1979;9,3
11 Extremadura;1978;9,4
11 Extremadura;1977;9,24
11 Extremadura;1976;9,24
11 Extremadura;1975;9,11
12 Galicia;2021;12,21
12 Galicia;2020;12,17
12 Galicia;2019;11,59
12 Galicia;2018;12,01
12 Galicia;2017;11,82
12 Galicia;2016;11,71
12 Galicia;2015;11,63
12 Galicia;2014;10,93
12 Galicia;2013;11,05
12 Galicia;2012;11,16
12 Galicia;2011;10,78
12 Galicia;2010;10,73
12 Galicia;2009;10,9
12 Galicia;2008;10,74
12 Galicia;2007;10,98
12 Galicia;2006;10,75
12 Galicia;2005;10,79
12 Galicia;2004;10,52
12 Galicia;2003;11,01
12 Galicia;2002;10,5
12 Galicia;2001;10,5
12 Galicia;2000;10,69
12 Galicia;1999;10,83
12 Galicia;1998;10,37
12 Galicia;1997;10,37
12 Galicia;1996;10,62
12 Galicia;1995;10,45
12 Galicia;1994;10,1
12 Galicia;1993;9,98
12 Galicia;1992;9,89
12 Galicia;1991;10,14
